Title,Summary,Website,Status,Deadline,Competition / Award,Internship / Job,Coursework / Enrichment,Volunteering,Remote,Residential,Science & Engineering,Medicine & Health,Sports & Athletics,Sustainability & Environment,Service & Advocacy,Business & Economics,Law & Politics,Arts & Media,Writing & Humanities,Architecture & Design
Inspirit AI Ethical Innovation Summer Opportunity,"Inspirit AI is an online 25-hour guided research program where high school students design applied AI projects in health systems, sustainability, and civic leadership under the mentorship of graduate researchers from Stanford and MIT. During the program students will learn about fundamental AI concepts and tools and complete a mentor-led socially impactful AI project in a domain of interest such as healthcare, finance, psychology, art, among others. No programming experience required, and students with prior coding experience are placed in an advanced cohort.",https://inspiritai.paperform.co/?utm_campaign=s26stem5000_apollo_wa,OPEN,"March 15, 2026 deadline!",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
New York Times Summer Academy,"The Summer Academy at the New York Times offers a 2-week residential or commuter pre-college experience to explore the field of journalism. The program is open to students in grades 10-12 as well as graduating seniors. Whether interested in media, culture, sports, fashion, business, or law, participants investigate the forces shaping these industries under the guidance of seasoned journalists, editors, and media professionals. Each Summer Academy course introduces students to core journalism and media literacy skills, while tapping into their individual interests, from writing to digital storytelling. The program goes beyond the classroom, taking students into newsrooms and local communities to uncover the stories behind compelling headlines.",https://nytedu.com/pre-college/summer-academy/nyc/,OPEN,"March 16, 2026 deadline!",,,TRUE,FALSE,,TRUE,,,FALSE,,,FALSE,FALSE,TRUE,TRUE,
Technovation Girls App Competition,"The Technovation Girls Competition challenges women under 18 to develop mobile or web applications that solve community or global problems. Eligible teams submit their apps to a global competition for a chance to win awards and scholarships through Quarterfinal, Semifinal, and Final rounds, culminating at the World Summit. Although the formal competition restricts participation by age and gender, the underlying educational curriculum is freely available to learners of all demographics.",https://technovationchallenge.org/competition/,OPEN,"March 18, 2026 (registration) & April 20, 2026 (submission)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Wharton Moneyball Academy Summer Program,"The Wharton Moneyball Academy is a 3-week, on-campus program for rising juniors and seniors with a strong math background and an interest in sports. The program is highly selective with only 75 spots offered. Sponsored by the Wharton Sports Analytics and Business Initiative (WSABI), the Moneyball Academy primes students to become leaders in an increasingly data-driven economy. The curriculum draws from several Wharton Statistics courses and includes hands-on coding in R, the programming language used by professional statisticians. Students collaborate on a final data analytics project, with the chance to be published in the Wharton Sports Analytics Journal. This program is ideal for students with a strong background in math and a love of sports. An interest in computer programming is strongly recommended but no specific background is necessary. All participants who complete the program will earn a Wharton Global Youth Certificate of Completion. ",https://globalyouth.wharton.upenn.edu/programs-courses/moneyball-academy/,OPEN,"March 18, 2026 deadline!",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Wharton Data Science Academy Summer Program,"The Wharton Data Science Academy provides a 3-week, on-campus experience for rising juniors and seniors. The program is highly selective with only 75 spots available. The curriculum mirrors the rigor of upper-level Wharton undergraduate courses, while being taught in a way that is accessible to motivated high school learners. Students start from the foundations, including data wrangling and visualization, fundamental probability and statistics (distributions, confidence intervals, hypothesis testing), and core modeling (simple & multiple regression, classification, model assessment). From there, students build steadily toward modern machine learning and artificial intelligence (AI). Coursework is hands-on, using R as the primary language, with selective use of Python (e.g., Colab) for deep learning and LLM. All participants who complete the program will earn a Wharton Global Youth Certificate of Completion. ",https://globalyouth.wharton.upenn.edu/programs-courses/data-science-academy/,OPEN,"March 18, 2026 deadline!",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Wharton Leadership in the Business World Summer Program,"Wharton Leadership in the Business World is a 3-week, on-campus program exclusively for rising seniors (current 11th graders). The program is selective with around 120 spots available. Leadership in the Business World is a three-week immersive program that provides students with a strong foundation in business fundamentals and organizational strategy. Participants engage in team-based projects, simulations, and debates while learning to analyze internal and external business environments using essential management frameworks. The program culminates in a capstone case competition, allowing students to apply their skills in a real-world business scenario. All participants who complete the program will earn a Wharton Global Youth Certificate of Completion.",https://globalyouth.wharton.upenn.edu/programs-courses/leadership-in-the-business-world/,OPEN,"March 18, 2026 deadline!",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Gilder Lehrman Institute Museum Internships,"The Gilder Lehrman Institute's Summer Internship Program offers paid positions ($17 per hr) for high school, college, and graduate students. Participants gain experience in museum collection management, educational programming, development, marketing, and operations. Roles are available in remote, in-person, or hybrid formats.",https://www.gilderlehrman.org/internships,OPEN,"March 27, 2026 deadline!",,TRUE,,FALSE,TRUE,,,,FALSE,,,FALSE,,TRUE,TRUE,
South Street Seaport Museum Internships,"This 12-week summer program ($18 per hr) provides students with insight into museum operations and maritime history. Interns are typically placed in Collections, Archives, or Exhibitions, where they work on internal projects, visit other NYC institutions, and network with museum professionals.",https://southstreetseaportmuseum.org/jobs-and-internships/,OPEN,"March 27, 2026 deadline!",,TRUE,,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
NY Historical Society Student Historian Internships,"The New York Historical Society offers in-person internships where NYC high school students conduct in-depth research on American history. Interns create digital projects, meet with professional staff, and develop historical thinking and media skills centered on the theme, Our Composite Nation: Frederick Douglass' America. All interns will receive a stipend upon successful completion of the internship. ",https://www.nyhistory.org/education/student-historian-internship-program,OPEN,"March 29, 2026 deadline!",,TRUE,,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,
Princeton Ten-Minute Play Contest,"The Lewis Center for the Arts at Princeton University hosts an annual ten-minute playwriting contest for 11th-grade students. Each year, the competition is evaluated by a distinguished guest playwright, with past judges including acclaimed writers such as Anya Pearson, Jiehae Park, and Dipika Guha. This program provides high school juniors a unique opportunity to have their original dramatic work recognized by prominent professionals in the field of theater and playwriting.",https://arts.princeton.edu/about/opportunities/high-school-contests/ten-minute-play-contest/,OPEN,"March 31, 2026 deadline!",TRUE,FALSE,FALSE,FALSE,,,,,FALSE,,,,,TRUE,TRUE,
