Title,Organization,Summary,Website,Deadline,Type,Remote,Academic Enrichment,Arts & Culture,Science & Engineering,Healthcare & Medicine,Environment & Sustainability,Law & Advocacy,Business & Entrepreneurship,Leadership & Community Service
Summer Science Research Program (SSRP),Rockefeller University,"SSRP is a competitive 7-week mentored research program for high school juniors and seniors. Scholars join research teams led by scientific trainees from Rockefeller University, MSK, and WCMC. The experience is supplemented by elective courses, guest lectures, and networking workshops.",https://www.rockefeller.edu/outreach/ssrp/,"Applications are CLOSED for Summer 2026. Applications for Summer 2027 will open later this year, due early January. ",Program (COST),FALSE,,,TRUE,TRUE,,,,
Science Honors Program (SHP),Columbia University,"The Science Honors Program is a highly selective academic year program (September to May) for students with a strong interest in STEM. Classes are held at Columbia University on Saturdays from 10:00 AM to 12:30 PM. Courses are taught by active researchers and cover advanced topics in physical, chemical, biological, and computing sciences.",https://outreach.engineering.columbia.edu/SHP,Applications are OPEN for Fall 2026 with rolling admission.,Program (COST),FALSE,,,TRUE,,,,,
Columbia Climate School in the Green Mountains ,Columbia University,"Based on a campus in the Green Mountains of Vermont, this 2-week program mobilizes high school students to address climate change. Participants engage with experts from the Columbia Climate School to learn about cutting-edge innovations, build partnerships with like-minded peers, and develop actionable strategies for driving environmental impact.",https://www.climate.columbia.edu/pre-college-green-mountains,Applications are OPEN for Summer 2026 with rolling admission.,Program (COST),FALSE,,,,,TRUE,,,
NYU Stern EFL Young Ambassadors Program,New York University,"This free program at the NYU Stern School of Business introduces NYC high schoolers to the world of startups and business. Selected students attend real-world startup conferences, shadow NYU MBA mentors, and learn directly from founders and investors. Applications are reviewed on a rolling basis throughout the year.",https://endlessfrontierlabs.com/young-ambassadors/,Applications are OPEN throughout the academic year with rolling admission.,Program (FREE),FALSE,,,,,,,TRUE,
Museum Apprentice Program,Brooklyn Museum,"In this paid internship, NYC high school students immerse themselves in art history and museum education at a world-class institution. Guided by curators and educators, apprentices create lesson plans and gain experience teaching audiences of all ages. Participants earn $16.50 per hour (rising to $17.50 for second-year leaders), work up to 180 hours annually, and receive MetroCards for travel.",https://www.brooklynmuseum.org/careers/internships-fellowships/museum-apprentice-program,Applications will open in July 2026 for the Fall 2026 program.,Job/Internship (PAID),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Girls Who Code Pathways,Girls Who Code,"Pathways is a free remote/virtual learning program offering specialized curriculum tracks in game design, data science, AI, cybersecurity, and web development. Designed for girls and non-binary students in grades 9–12 (including rising 9th graders and graduating seniors), the program features a vibrant virtual community on Discord and access to advisor-led workshops, career panels, and corporate partner events. Over the course of 6–7 weeks, participants work at their own pace to complete technical projects aligned with emerging technologies.",https://girlswhocode.com/programs/pathways,"April 10, 2026 DEADLINE!",Program (FREE),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Applied Research In Science and Engineering (ARISE),New York University,"ARISE is a free 10-week summer program for students interested in STEM research. It consists of 4 weeks of foundational training in safety, writing, and research skills, followed by 6 weeks of hands-on research in over 80 NYU labs, where students assist faculty on real-world engineering and science projects.",https://k12stem.engineering.nyu.edu/programs/arise,"February 20, 2026 DEADLINE!",Program (FREE),FALSE,,,TRUE,TRUE,,,,
Artificial Intelligence in Medicine and Imaging (AIMI) Remote Internship,Stanford University,"The Stanford Center for Artificial Intelligence in Medicine and Imaging (AIMI) offers a two-week remote/virtual summer internship for high school students interested in the intersection of AI and healthcare. Participants engage in specialized lectures, collaborate on research projects, and receive mentorship from Stanford researchers and students. The program features ""Virtual Career Lunch and Learns"" with guest speakers and offers an optional ""Student Lead"" role for those seeking additional leadership experience. Upon completion, students earn a certificate, with select participants becoming eligible for extended research opportunities.",https://aimi.stanford.edu/education/summer-research-internship,"February 20, 2026 DEADLINE!",Program (COST),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Project TRUE Internship,Wildlife Conservation Society,"Project TRUE (Teens Researching Urban Ecology) is an urban ecology research and youth development program for high school sophomores and juniors living in the Bronx. Run by the Bronx Zoo Education team in partnership with Fordham University, the program provides hands-on field research experience.",https://bronxzoo.com/teens/project-true,"February 25, 2026 DEADLINE!",Job/Internship (UNPAID),FALSE,,,TRUE,,TRUE,,,TRUE
Manhattan District Attorney’s High School Internship Program (HSIP),Manhattan District Attorney,"This rigorous 5-week internship offers students an insider’s perspective on the criminal justice system. Participants engage in workshops, professional development, and a mock trial program while working in an office setting. Interns are paid minimum wage and must demonstrate a strong interest in law and public service.",https://manhattanda.org/careers/internship-opportunities/high-school-internship/,"February 27, 2026 DEADLINE!",Job/Internship (PAID),FALSE,,,,,,TRUE,,
NASA Goddard Institute for Space Studies (GISS) Internships,NASA,"Students interested in climate science and data modeling can apply for research-based internships at the Goddard Institute for Space Studies. Interns work directly with NASA scientists on projects related to Earth science, gaining technical skills and exposure to professional research environments.",https://www.giss.nasa.gov/edu/intern/,"February 27, 2026 DEADLINE!",Job/Internship (UNPAID),FALSE,,,TRUE,,TRUE,,,
NYC Summer Youth Employment Program (SYEP),NYC Department of Youth & Community Development,"As the nation’s largest youth employment program, SYEP provides NYC residents ages 14–24 with up to $700 through project-based learning or traditional 25-hour-per-week jobs. The program offers valuable work experience and financial compensation during the summer months.",https://application.nycsyep.com/,"February 27, 2026 DEADLINE!",Job/Internship (PAID),FALSE,,,,,,,,TRUE
NYC Parks Lifeguard,NYC Department of Parks & Recreation,NYC Parks is seeking dedicated individuals (ages 16+) to serve as seasonal lifeguards at city pools and beaches in Summer 2026. This role offers a wage of $22.00 per hour and builds critical skills in safety and leadership. All applicants must pass a qualifying swim test and complete a training program.,https://www.nycgovparks.org/opportunities/jobs/lifeguards,February DEADLINE! Take the Qualifying Swim Test before the end of February at one of the specified locations and times on the website.,Job/Internship (PAID),FALSE,,,,,,,,TRUE
NYU Career Edge High School Summer Program,New York University,"NYU Career Edge offers one-week, non-credit intensives in professional fields like Criminal Justice, Entrepreneurship, and Finance. Designed for college and career readiness, the program allows students to live on campus and explore career paths while experiencing life at a world-renowned university.",https://www.sps.nyu.edu/high-school-academy/programs/career-edge.html,"June 12, 2026 DEADLINE!",Program (COST),FALSE,TRUE,,,,,,FALSE,
NYU Precollege,New York University,"NYU Precollege allows rising juniors and seniors to earn college credits by taking undergraduate courses taught by world-class faculty. Students immerse themselves in the dynamic NYU community, exploring potential majors and academic interests while interacting with classmates from around the world.",https://www.nyu.edu/admissions/high-school-and-middle-school-programs/high-school-programs/nyu-precollege/explore-precollege.html,"June 15, 2026 DEADLINE!",Program (COST),FALSE,TRUE,,,,,,,
Engineering the Next Generation (ENG),Columbia University,This 6-week program at Columbia Engineering provides students with hands-on research experience and multi-level mentorship. Participants work alongside faculty and researchers to develop academic and professional skills in one of two tracks: the Foundations of Research (FoR) or the Center for Smart Streetscapes (CS3).,https://outreach.engineering.columbia.edu/eng,"March 1, 2026 DEADLINE for the CS3 track. The FoR track applications are CLOSED for Summer 2026, but applications for Summer 2027 will open later this year, due early January. ",Program (COST),FALSE,,,TRUE,,,,,
Civic Leadership Day with The Town Hall,Fordham University,"This program at Fordham University’s Lincoln Center campus begins with a leadership training day (April 27, 2026) followed by four weeks of virtual mentorship. Students identify community issues and develop solutions, which they present to local council members and activists during a showcase event on May 27, 2026.",https://www.thetownhall.org/civics/civic-leadership-day,"March 1, 2026 DEADLINE!",Program (FREE),FALSE,,,,,,TRUE,,TRUE
Mount Sinai Summer JuMP,Mount Sinai,"The Junior Medical Program (JuMP) is a 6-week summer commitment (100 hours total) for students ages 15 to 17. Participants gain direct patient contact and observe the clinical and non-clinical daily operations of a hospital at Mount Sinai, learning from healthcare professionals to support patient satisfaction.",https://www.mountsinai.org/locations/morningside/about/volunteer,"March 1, 2026 DEADLINE!",Volunteering (UNPAID),FALSE,,,,TRUE,,,,TRUE
